Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
random_tree,128,Direct,NJ,-1.0,302.6292827009006,-1.0,302.6292827009006,0.0,-1.0,0.4874272346496582
random_tree,128,Direct,NJ,-1.0,277.62252293011346,-1.0,277.62252293011346,0.0,-1.0,0.4801807403564453
random_tree,128,Direct,NJ,-1.0,270.9383702909726,-1.0,270.9383702909726,0.0,-1.0,0.5325431823730469
random_tree,128,Direct,TreeRep,-1.0,813.1470331279781,186.50805021779053,556.6467933868753,0.0,-1.0,0.9863746762275696
random_tree,128,Direct,TreeRep,-1.0,589.7732223945354,89.68848604178915,478.13559609633177,0.0,-1.0,1.013452959060669
random_tree,128,Direct,TreeRep,-1.0,757.4895860134544,129.99560383272637,480.30877392625973,0.0,-1.0,1.0395684480667113
random_tree,128,Direct,single,-1.0,904.3008348995372,-1.0,904.3008348995372,0.0,-1.0,0.0008254051208496094
random_tree,128,Direct,single,-1.0,903.8119273388685,-1.0,903.8119273388685,0.0,-1.0,0.0007302761077880859
random_tree,128,Direct,single,-1.0,1002.829995562558,-1.0,1002.829995562558,0.0,-1.0,0.0006940364837646484
random_tree,128,Direct,complete,-1.0,855.3198232240383,-1.0,855.3198232240383,0.0,-1.0,0.0008711814880371094
random_tree,128,Direct,complete,-1.0,776.6054339238169,-1.0,776.6054339238169,0.0,-1.0,0.0007996559143066406
random_tree,128,Direct,complete,-1.0,848.2794350919985,-1.0,848.2794350919985,0.0,-1.0,0.0007879734039306641
random_tree,128,Direct,average,-1.0,346.4974913463695,-1.0,346.4974913463695,0.0,-1.0,0.0008628368377685547
random_tree,128,Direct,average,-1.0,307.4465043339947,-1.0,307.4465043339947,0.0,-1.0,0.00078582763671875
random_tree,128,Direct,average,-1.0,316.81196029804664,-1.0,316.81196029804664,0.0,-1.0,0.0008099079132080078
random_tree,128,Direct,weighted,-1.0,350.0612454977332,-1.0,350.0612454977332,0.0,-1.0,0.000782012939453125
random_tree,128,Direct,weighted,-1.0,346.2533067941353,-1.0,346.2533067941353,0.0,-1.0,0.0007748603820800781
random_tree,128,Direct,weighted,-1.0,326.50380463296204,-1.0,326.50380463296204,0.0,-1.0,0.0008802413940429688
random_tree,128,Direct,centroid,-1.0,532.0506358534107,-1.0,532.0506358534107,0.0,-1.0,0.0009734630584716797
random_tree,128,Direct,centroid,-1.0,488.61386204018487,-1.0,488.61386204018487,0.0,-1.0,0.0008766651153564453
random_tree,128,Direct,centroid,-1.0,526.9503465119359,-1.0,526.9503465119359,0.0,-1.0,0.0008208751678466797
random_tree,128,Direct,median,-1.0,585.3986445022981,-1.0,585.3986445022981,0.0,-1.0,0.0008893013000488281
random_tree,128,Direct,median,-1.0,483.24360516012695,-1.0,483.24360516012695,0.0,-1.0,0.0008635520935058594
random_tree,128,Direct,median,-1.0,558.0667195538346,-1.0,558.0667195538346,0.0,-1.0,0.000858306884765625
random_tree,128,Hyp,NJ,97.70197710962871,341.62947813973557,-1.0,341.62947813973557,0.0,243.32861495018005,0.7311317920684814
random_tree,128,Hyp,NJ,87.3167693895627,261.7129763211184,-1.0,261.7129763211184,0.0,271.41872239112854,0.9288523197174072
random_tree,128,Hyp,NJ,89.44117465526736,275.2143249305665,-1.0,275.2143249305665,0.0,332.6134750843048,0.6801578998565674
random_tree,128,Hyp,TreeRep,97.70197710962871,664.9314881394808,171.680753561108,433.21958083002244,0.0,0.12422418594360352,1.1707339763641358
random_tree,128,Hyp,TreeRep,87.3167693895627,485.7150653863567,55.660416414764875,404.9160390801795,0.0,0.1445932388305664,1.1369720458984376
random_tree,128,Hyp,TreeRep,89.44117465526736,661.1943798504224,122.14811794443611,479.18098539501096,0.0,0.13930368423461914,1.1590877294540405
random_tree,128,Hyp,single,97.70197710962871,947.5908266379382,-1.0,947.5908266379382,0.0,0.14725756645202637,0.0009963512420654297
