Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,2.4573636054992676
zoo,64,Direct,TreeRep,-1.0,24.071859861657142,0.0,24.071859861657142,0.0,-1.0,5.938351631164551
zoo,64,Direct,single,-1.0,34.53320451166663,-1.0,34.53320451166663,0.0,-1.0,0.0014324188232421875
zoo,64,Direct,complete,-1.0,20.78123600006757,-1.0,20.78123600006757,0.0,-1.0,0.0009167194366455078
zoo,64,Direct,average,-1.0,10.045921388741471,-1.0,10.045921388741471,0.0,-1.0,0.0008656978607177734
zoo,64,Direct,weighted,-1.0,12.088090410440886,-1.0,12.088090410440886,0.0,-1.0,0.0008680820465087891
zoo,64,Direct,centroid,-1.0,13.634904582602315,-1.0,13.634904582602315,0.0,-1.0,0.0009114742279052734
zoo,64,Direct,median,-1.0,21.23960510922271,-1.0,21.23960510922271,0.0,-1.0,0.0008554458618164062
zoo,64,Hyp,NJ,7.847851305110304,8.992021746171574,-1.0,8.992021746171574,0.0,569.920520067215,0.361433744430542
zoo,64,Hyp,TreeRep,7.847851305110304,10.511553079032097,0.0,10.511553079032097,0.0,0.010613679885864258,0.7359702587127686
zoo,64,Hyp,single,7.847851305110304,17.170939234966202,-1.0,17.170939234966202,0.0,0.011057138442993164,0.0016443729400634766
zoo,64,Hyp,complete,7.847851305110304,10.642265091953147,-1.0,10.642265091953147,0.0,0.005919218063354492,0.00070953369140625
zoo,64,Hyp,average,7.847851305110304,9.176661243377579,-1.0,9.176661243377579,0.0,0.004920244216918945,0.000659942626953125
zoo,64,Hyp,weighted,7.847851305110304,11.056343633097123,-1.0,11.056343633097123,0.0,0.00670933723449707,0.0005764961242675781
zoo,64,Hyp,centroid,7.847851305110304,-1.0,-1.0,-1.0,-1.0,0.00418543815612793,-1.0
zoo,64,Hyp,median,7.847851305110304,-1.0,-1.0,-1.0,-1.0,0.004003047943115234,-1.0
# Namespace(Normalization=False, anneal_every=200, anneal_factor=1.0, batch_size=100000, burnin=30, burnin_factor=10, c=200, check_tree=False, dataset='zoo', dec_method='median', dec_repeat=1, device=-1, dtype='double', enc_method='Hyp', epochs=500, eval_every=1, fast_decoding=1, init_size=1e-06, learning_rate=0.05, max_scale=0.999, num_nodes=64, num_samples=-1, optimizer='RAdam', p=2, patience=50, rank=64, save=True, scaling_factor=1.0, seed=1, temperature=0.01, verbose=False)
